SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;ADV;SHIF A;A1 VAL;A2 VAL;A3 VAL;
46 ;1:50,70 ;2409 ;10 ;46;25;39;0,852 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:50,80 ;1611 ;8 ;46;25;40;0,862 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:50,90 ;2179 ;10 ;46;25;39;0,877 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:51,00 ;1792 ;7 ;46;25;40;0,902 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:51,10 ;2185 ;7 ;46;25;38;0,908 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:51,20 ;2053 ;7 ;46;25;38;0,904 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:51,30 ;2121 ;7 ;46;25;38;0,887 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:51,40 ;2140 ;7 ;46;25;38;0,869 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:51,50 ;2182 ;7 ;46;25;38;0,882 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:51,60 ;2236 ;7 ;46;25;37;0,874 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:51,70 ;2305 ;7 ;46;25;37;0,884 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:51,80 ;2325 ;7 ;46;25;37;0,868 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:51,90 ;2384 ;7 ;46;25;37;0,868 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:52,00 ;2279 ;4 ;46;25;36;0,872 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:52,10 ;2517 ;4 ;46;25;35;0,854 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:52,20 ;2462 ;4 ;46;25;35;0,861 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:52,30 ;2512 ;4 ;46;25;34;0,857 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:52,40 ;2547 ;4 ;46;25;34;0,864 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:52,50 ;2560 ;4 ;46;25;33;0,841 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:52,60 ;2381 ;4 ;46;25;34;0,848 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:52,70 ;2403 ;4 ;46;25;34;0,864 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:52,80 ;2808 ;4 ;46;25;32;0,858 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:52,90 ;2219 ;4 ;46;24;34;0,862 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:53,00 ;2714 ;4 ;46;24;34;0,861 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:53,10 ;3097 ;4 ;46;24;31;0,878 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:53,20 ;1944 ;3 ;46;24;34;0,838 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:53,30 ;2685 ;5 ;46;24;34;0,850 ;0,0 ;0,0 ;0,0 ;0,0 ;26,6 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:53,40 ;3040 ;5 ;46;24;31;0,880 ;0,0 ;0,0 ;0,0 ;0,0 ;26,6 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:53,50 ;2301 ;4 ;46;24;33;0,888 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:53,60 ;2819 ;4 ;46;24;33;0,909 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:53,70 ;2653 ;4 ;46;24;32;0,890 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:53,80 ;2399 ;3 ;46;24;34;0,848 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:53,90 ;3140 ;5 ;46;24;32;0,857 ;0,0 ;0,0 ;0,0 ;0,0 ;26,6 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:54,00 ;2536 ;3 ;47;24;32;0,857 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:54,10 ;2355 ;2 ;47;24;33;0,856 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:54,20 ;3214 ;4 ;47;24;32;0,860 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:54,30 ;2323 ;3 ;47;24;32;0,876 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:54,40 ;2235 ;3 ;47;24;34;0,850 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:54,50 ;3374 ;6 ;47;24;32;0,838 ;0,0 ;0,0 ;0,0 ;0,0 ;28,3 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:54,60 ;2443 ;3 ;47;24;31;0,848 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:54,70 ;2433 ;3 ;47;24;33;0,816 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:54,80 ;3311 ;3 ;47;24;31;0,854 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:54,90 ;2274 ;3 ;47;24;31;0,838 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:55,00 ;2328 ;4 ;47;24;34;0,840 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:55,10 ;3406 ;4 ;47;24;31;0,856 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:55,20 ;2265 ;4 ;47;24;32;0,839 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:55,30 ;2488 ;4 ;47;24;34;0,839 ;0,0 ;0,0 ;0,0 ;0,0 ;25,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:55,40 ;3519 ;5 ;47;24;31;0,857 ;0,0 ;0,0 ;0,0 ;0,0 ;26,6 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:55,50 ;2219 ;3 ;47;24;32;0,847 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:55,60 ;2637 ;3 ;47;24;33;0,852 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:55,70 ;3300 ;3 ;47;24;30;0,837 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:55,80 ;2126 ;3 ;47;24;32;0,834 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:55,90 ;2737 ;2 ;47;24;33;0,827 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:56,00 ;3333 ;3 ;47;24;30;0,853 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:56,10 ;2086 ;3 ;47;24;33;0,853 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:56,20 ;2609 ;6 ;47;24;35;0,833 ;0,0 ;0,0 ;0,0 ;0,0 ;28,3 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:56,30 ;3569 ;7 ;47;24;32;0,872 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:56,40 ;2441 ;6 ;47;24;33;0,838 ;0,0 ;0,0 ;0,0 ;0,0 ;28,3 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:56,50 ;2787 ;11 ;47;24;34;0,858 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:56,60 ;2761 ;12 ;48;24;35;0,878 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:56,70 ;3078 ;11 ;48;24;35;0,889 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:56,80 ;2928 ;11 ;48;24;35;0,917 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:56,90 ;3056 ;11 ;48;24;34;0,951 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:57,00 ;3144 ;11 ;48;24;34;0,959 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:57,10 ;3241 ;11 ;48;24;33;0,933 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:57,20 ;3311 ;11 ;48;24;33;0,922 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:57,30 ;3350 ;11 ;48;24;33;0,899 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:57,40 ;3393 ;11 ;48;24;33;0,886 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:57,50 ;3461 ;11 ;48;24;32;0,868 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:57,60 ;3565 ;9 ;48;24;32;0,832 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:57,70 ;3548 ;9 ;48;24;31;0,826 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:57,80 ;3667 ;9 ;48;24;30;0,798 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:57,90 ;3514 ;7 ;48;24;30;0,776 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:58,00 ;3691 ;7 ;48;24;30;0,758 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:58,10 ;3461 ;6 ;48;24;30;0,724 ;0,0 ;0,0 ;0,0 ;0,0 ;28,3 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:58,20 ;3344 ;6 ;48;24;30;0,741 ;0,0 ;0,0 ;0,0 ;0,0 ;28,3 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:58,30 ;3860 ;6 ;48;24;30;0,726 ;0,0 ;0,0 ;0,0 ;0,0 ;28,3 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:58,40 ;3652 ;6 ;48;24;30;0,775 ;0,0 ;0,0 ;0,0 ;0,0 ;28,3 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:58,50 ;3065 ;6 ;48;24;30;0,747 ;0,0 ;0,0 ;0,0 ;0,0 ;28,3 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:58,60 ;3810 ;6 ;49;24;30;0,775 ;0,0 ;0,0 ;0,0 ;0,0 ;28,3 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:58,70 ;3765 ;6 ;49;24;30;0,792 ;0,0 ;0,0 ;0,0 ;0,0 ;28,3 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:58,80 ;2983 ;3 ;49;24;30;0,745 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:58,90 ;3595 ;6 ;49;24;30;0,742 ;0,0 ;0,0 ;0,0 ;0,0 ;28,3 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:59,00 ;4166 ;6 ;49;24;30;0,761 ;0,0 ;0,0 ;0,0 ;0,0 ;30,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:59,10 ;2955 ;5 ;49;24;30;0,763 ;0,0 ;0,0 ;0,0 ;0,0 ;26,6 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:59,20 ;3651 ;7 ;49;24;30;0,757 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:59,30 ;3869 ;7 ;49;24;30;0,758 ;0,0 ;0,0 ;0,0 ;0,0 ;30,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:59,40 ;3120 ;6 ;49;24;30;0,750 ;0,0 ;0,0 ;0,0 ;0,0 ;28,3 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:59,50 ;3472 ;6 ;49;24;30;0,759 ;0,0 ;0,0 ;0,0 ;0,0 ;28,3 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:59,60 ;3865 ;6 ;49;24;30;0,763 ;0,0 ;0,0 ;0,0 ;0,0 ;28,3 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:59,70 ;3011 ;3 ;49;24;30;0,755 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:59,80 ;3486 ;3 ;49;24;30;0,759 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;1:59,90 ;3923 ;3 ;49;24;30;0,779 ;0,0 ;0,0 ;0,0 ;0,0 ;22,5 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:00,00 ;3117 ;2 ;49;24;30;0,767 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:00,10 ;2889 ;2 ;49;24;30;0,757 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:00,20 ;3529 ;2 ;49;24;30;0,772 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:00,30 ;3430 ;2 ;49;24;30;0,828 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:00,40 ;3219 ;2 ;49;24;30;0,783 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:00,50 ;3220 ;2 ;49;24;30;0,777 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:00,60 ;3252 ;2 ;49;24;30;0,795 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:00,70 ;3343 ;2 ;49;24;30;0,788 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:00,80 ;3360 ;2 ;50;24;30;0,783 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:00,90 ;3423 ;2 ;50;24;30;0,808 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:01,00 ;3440 ;2 ;50;24;30;0,820 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:01,10 ;3470 ;2 ;50;24;30;0,817 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:01,20 ;3525 ;2 ;50;24;30;0,807 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:01,30 ;3598 ;2 ;50;24;30;0,806 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:01,40 ;3777 ;2 ;50;24;30;0,808 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:01,50 ;3765 ;2 ;50;24;30;0,791 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:01,60 ;3881 ;2 ;50;24;30;0,795 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:01,70 ;3710 ;2 ;50;24;30;0,807 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:01,80 ;3137 ;2 ;50;24;30;0,821 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:01,90 ;2782 ;2 ;50;24;30;0,842 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:02,00 ;2641 ;2 ;50;24;30;0,847 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:02,10 ;2920 ;2 ;50;24;30;0,867 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:02,20 ;3133 ;2 ;50;24;30;0,807 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:02,30 ;3338 ;2 ;50;24;30;0,815 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:02,40 ;3467 ;2 ;50;24;30;0,844 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:02,50 ;3521 ;2 ;50;24;30;0,854 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:02,60 ;3585 ;2 ;50;24;30;0,849 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
46 ;2:02,70 ;3757 ;2 ;50;24;30;0,857 ;0,0 ;0,0 ;0,0 ;0,0 ;20,0 ;0 ;0,0 ;0,0 ;0,0 ;
